14,5,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
1,2,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
2,2,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
3,2,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
4,2,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
5,2,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
6,2,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
8,4,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
9,4,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
10,5,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
11,5,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
12,5,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
13,5,1,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":'"1.00'"},{'"key'":'"Gastos de importación'",'"value'":'"2.00'"},{'"key'":'"Seguro'",'"value'":'"1.00'"},{'"key'":'"Impuestos'",'"value'":'"13.00'"}]",2,100,17,117,2024-10-31 19:07:41.914-06
15,2,2,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":1},{'"key'":'"Gastos de importación'",'"value'":5},{'"key'":'"Seguro'",'"value'":2},{'"key'":'"Impuestos'",'"value'":15}]",2.5,100,23,123,2024-11-01 05:32:59.776-06
16,2,3,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":6.72},{'"key'":'"Gastos de importación'",'"value'":4.48},{'"key'":'"Seguro'",'"value'":11.200000000000001},{'"key'":'"Impuestos'",'"value'":14.56}]",2.57,112,36.96,148.96,2024-11-01 05:56:57.586-06
17,2,3,raulcampos066@gmail.com,"[{'"key'":'"Flete'",'"value'":1.98},{'"key'":'"Gastos de importación'",'"value'":1.32},{'"key'":'"Seguro'",'"value'":3.3000000000000003},{'"key'":'"Impuestos'",'"value'":4.29}]",3,33,10.89,43.89,2024-11-01 05:59:59.954-06
